sim_id,replicate_id,t,group_number,Q,population_size,group_name,Q_frac
399510cd-c26c-4e17-b7c7-7ae0f7e0d3d3,8aed7994-9774-4bf3-ad4c-9bae8ed03749,48,1,4622,24254,UG (off campus),0.19056650449410406
399510cd-c26c-4e17-b7c7-7ae0f7e0d3d3,8aed7994-9774-4bf3-ad4c-9bae8ed03749,52,2,1162,13012,Grad (research),0.0893021826006763
3a17007e-bae7-4c02-b678-1ab0fd21aaa0,d0f5c3b1-9703-4156-8f1a-3f4fff8113ba,9,7,14076,258054,Madison Community,0.05454672277895324
3a17007e-bae7-4c02-b678-1ab0fd21aaa0,d0f5c3b1-9703-4156-8f1a-3f4fff8113ba,10,5,356,8083,fac/staff (on-campus non-student facing),0.044043053321786464
3a17007e-bae7-4c02-b678-1ab0fd21aaa0,d0f5c3b1-9703-4156-8f1a-3f4fff8113ba,10,6,472,8084,fac/staff (off-campus),0.05838693715982187
3a17007e-bae7-4c02-b678-1ab0fd21aaa0,d0f5c3b1-9703-4156-8f1a-3f4fff8113ba,40,3,291,1120,Grad (other),0.2598214285714286
3a17007e-bae7-4c02-b678-1ab0fd21aaa0,d0f5c3b1-9703-4156-8f1a-3f4fff8113ba,42,4,575,1698,fac/staff (on-campus student facing),0.3386336866902238
3a17007e-bae7-4c02-b678-1ab0fd21aaa0,d0f5c3b1-9703-4156-8f1a-3f4fff8113ba,47,0,2241,6931,(UG Dorms),0.3233299668157553
3a17007e-bae7-4c02-b678-1ab0fd21aaa0,d0f5c3b1-9703-4156-8f1a-3f4fff8113ba,47,2,1181,13012,Grad (research),0.09076237319397479
3a17007e-bae7-4c02-b678-1ab0fd21aaa0,d0f5c3b1-9703-4156-8f1a-3f4fff8113ba,49,1,4718,24254,UG (off campus),0.19452461449657787
3a3f0f74-34f2-4294-a6d4-03e5ab5fab7b,79f15d74-9b35-4b2b-8e4b-070f06e83238,8,6,420,8084,fac/staff (off-campus),0.05195447798119743
3a3f0f74-34f2-4294-a6d4-03e5ab5fab7b,79f15d74-9b35-4b2b-8e4b-070f06e83238,9,5,445,8083,fac/staff (on-campus non-student facing),0.05505381665223308
3a3f0f74-34f2-4294-a6d4-03e5ab5fab7b,79f15d74-9b35-4b2b-8e4b-070f06e83238,9,7,13773,258054,Madison Community,0.053372549931409705
3a3f0f74-34f2-4294-a6d4-03e5ab5fab7b,79f15d74-9b35-4b2b-8e4b-070f06e83238,38,4,630,1698,fac/staff (on-campus student facing),0.3710247349823322
3a3f0f74-34f2-4294-a6d4-03e5ab5fab7b,79f15d74-9b35-4b2b-8e4b-070f06e83238,43,0,2348,6931,(UG Dorms),0.33876785456644065
3a3f0f74-34f2-4294-a6d4-03e5ab5fab7b,79f15d74-9b35-4b2b-8e4b-070f06e83238,44,3,325,1120,Grad (other),0.29017857142857145
3a3f0f74-34f2-4294-a6d4-03e5ab5fab7b,79f15d74-9b35-4b2b-8e4b-070f06e83238,48,2,1316,13012,Grad (research),0.10113741162004304
3a3f0f74-34f2-4294-a6d4-03e5ab5fab7b,79f15d74-9b35-4b2b-8e4b-070f06e83238,49,1,4801,24254,UG (off campus),0.19794673043621672
3b5b9bb6-9da1-42a7-b63a-84e4968113aa,9e8948d5-378c-4d05-8f64-75a94fd36e27,9,7,13896,258054,Madison Community,0.053849194354669956
3b5b9bb6-9da1-42a7-b63a-84e4968113aa,9e8948d5-378c-4d05-8f64-75a94fd36e27,10,6,421,8084,fac/staff (off-campus),0.0520781791192479
3b5b9bb6-9da1-42a7-b63a-84e4968113aa,9e8948d5-378c-4d05-8f64-75a94fd36e27,36,2,1306,13012,Grad (research),0.1003688902551491
3b5b9bb6-9da1-42a7-b63a-84e4968113aa,9e8948d5-378c-4d05-8f64-75a94fd36e27,37,0,2550,6931,(UG Dorms),0.3679122781705382
3b5b9bb6-9da1-42a7-b63a-84e4968113aa,9e8948d5-378c-4d05-8f64-75a94fd36e27,38,3,324,1120,Grad (other),0.2892857142857143
3b5b9bb6-9da1-42a7-b63a-84e4968113aa,9e8948d5-378c-4d05-8f64-75a94fd36e27,39,4,581,1698,fac/staff (on-campus student facing),0.3421672555948174
3b5b9bb6-9da1-42a7-b63a-84e4968113aa,9e8948d5-378c-4d05-8f64-75a94fd36e27,43,1,4900,24254,UG (off campus),0.20202853137626783
3b5b9bb6-9da1-42a7-b63a-84e4968113aa,9e8948d5-378c-4d05-8f64-75a94fd36e27,53,5,159,8083,fac/staff (on-campus non-student facing),0.019670914264505752
3bb11b4d-e2df-452c-8a92-5f735f928aa9,ef549d15-5951-4c2d-867e-76cd94ad1e26,9,7,14179,258054,Madison Community,0.05494586404395979
3bb11b4d-e2df-452c-8a92-5f735f928aa9,ef549d15-5951-4c2d-867e-76cd94ad1e26,10,5,421,8083,fac/staff (on-campus non-student facing),0.05208462204626995
3bb11b4d-e2df-452c-8a92-5f735f928aa9,ef549d15-5951-4c2d-867e-76cd94ad1e26,12,6,383,8084,fac/staff (off-campus),0.04737753587333003
3bb11b4d-e2df-452c-8a92-5f735f928aa9,ef549d15-5951-4c2d-867e-76cd94ad1e26,33,4,593,1698,fac/staff (on-campus student facing),0.3492343934040047
3bb11b4d-e2df-452c-8a92-5f735f928aa9,ef549d15-5951-4c2d-867e-76cd94ad1e26,44,0,2503,6931,(UG Dorms),0.3611311499062184
3bb11b4d-e2df-452c-8a92-5f735f928aa9,ef549d15-5951-4c2d-867e-76cd94ad1e26,45,1,4960,24254,UG (off campus),0.20450235012781398
3bb11b4d-e2df-452c-8a92-5f735f928aa9,ef549d15-5951-4c2d-867e-76cd94ad1e26,47,3,268,1120,Grad (other),0.2392857142857143
3bb11b4d-e2df-452c-8a92-5f735f928aa9,ef549d15-5951-4c2d-867e-76cd94ad1e26,50,2,1230,13012,Grad (research),0.09452812788195512
405177a7-4274-46a5-978f-85ba15126e06,bf26c404-e931-4ff7-9229-d4a94752e463,9,7,13822,258054,Madison Community,0.053562432669131264
405177a7-4274-46a5-978f-85ba15126e06,bf26c404-e931-4ff7-9229-d4a94752e463,10,5,429,8083,fac/staff (on-campus non-student facing),0.053074353581590995
405177a7-4274-46a5-978f-85ba15126e06,bf26c404-e931-4ff7-9229-d4a94752e463,11,6,403,8084,fac/staff (off-campus),0.04985155863433944
405177a7-4274-46a5-978f-85ba15126e06,bf26c404-e931-4ff7-9229-d4a94752e463,34,0,2216,6931,(UG Dorms),0.3197229836964363
405177a7-4274-46a5-978f-85ba15126e06,bf26c404-e931-4ff7-9229-d4a94752e463,37,4,546,1698,fac/staff (on-campus student facing),0.3215547703180212
405177a7-4274-46a5-978f-85ba15126e06,bf26c404-e931-4ff7-9229-d4a94752e463,42,2,1153,13012,Grad (research),0.08861051337227174
405177a7-4274-46a5-978f-85ba15126e06,bf26c404-e931-4ff7-9229-d4a94752e463,42,3,267,1120,Grad (other),0.23839285714285716
405177a7-4274-46a5-978f-85ba15126e06,bf26c404-e931-4ff7-9229-d4a94752e463,43,1,4825,24254,UG (off campus),0.19893625793683517
4090f1d5-cd47-445a-9284-ae24f1646ff6,3212d55d-2989-4f75-88db-9c001bdff538,9,5,424,8083,fac/staff (on-campus non-student facing),0.05245577137201534
4090f1d5-cd47-445a-9284-ae24f1646ff6,3212d55d-2989-4f75-88db-9c001bdff538,9,7,13731,258054,Madison Community,0.053209793299076935
4090f1d5-cd47-445a-9284-ae24f1646ff6,3212d55d-2989-4f75-88db-9c001bdff538,10,6,446,8084,fac/staff (off-campus),0.055170707570509646
4090f1d5-cd47-445a-9284-ae24f1646ff6,3212d55d-2989-4f75-88db-9c001bdff538,39,3,339,1120,Grad (other),0.3026785714285714
4090f1d5-cd47-445a-9284-ae24f1646ff6,3212d55d-2989-4f75-88db-9c001bdff538,43,0,2355,6931,(UG Dorms),0.33977780983984995
4090f1d5-cd47-445a-9284-ae24f1646ff6,3212d55d-2989-4f75-88db-9c001bdff538,45,4,547,1698,fac/staff (on-campus student facing),0.3221436984687868
4090f1d5-cd47-445a-9284-ae24f1646ff6,3212d55d-2989-4f75-88db-9c001bdff538,46,2,1200,13012,Grad (research),0.09222256378727328
4090f1d5-cd47-445a-9284-ae24f1646ff6,3212d55d-2989-4f75-88db-9c001bdff538,48,1,4528,24254,UG (off campus),0.1866908551166818
40bd7457-d947-4dce-8c70-223db24fb8d5,f1da0063-d066-4f2b-81ef-19c90cf0da04,9,6,474,8084,fac/staff (off-campus),0.05863433943592281
40bd7457-d947-4dce-8c70-223db24fb8d5,f1da0063-d066-4f2b-81ef-19c90cf0da04,9,7,13863,258054,Madison Community,0.05372131414355135
40bd7457-d947-4dce-8c70-223db24fb8d5,f1da0063-d066-4f2b-81ef-19c90cf0da04,11,5,377,8083,fac/staff (on-campus non-student facing),0.04664109860200421
40bd7457-d947-4dce-8c70-223db24fb8d5,f1da0063-d066-4f2b-81ef-19c90cf0da04,37,0,2359,6931,(UG Dorms),0.340354927138941
40bd7457-d947-4dce-8c70-223db24fb8d5,f1da0063-d066-4f2b-81ef-19c90cf0da04,37,4,553,1698,fac/staff (on-campus student facing),0.32567726737338043
40bd7457-d947-4dce-8c70-223db24fb8d5,f1da0063-d066-4f2b-81ef-19c90cf0da04,38,2,1309,13012,Grad (research),0.10059944666461727
40bd7457-d947-4dce-8c70-223db24fb8d5,f1da0063-d066-4f2b-81ef-19c90cf0da04,45,3,288,1120,Grad (other),0.2571428571428571
40bd7457-d947-4dce-8c70-223db24fb8d5,f1da0063-d066-4f2b-81ef-19c90cf0da04,46,1,4719,24254,UG (off campus),0.19456584480910366
4237709c-49f7-4bad-8c63-c649e27d9b51,66690f21-fa07-4f8f-832d-3e2a5cf8c8af,9,7,13569,258054,Madison Community,0.05258201771722198
4237709c-49f7-4bad-8c63-c649e27d9b51,66690f21-fa07-4f8f-832d-3e2a5cf8c8af,10,5,378,8083,fac/staff (on-campus non-student facing),0.046764815043919335
4237709c-49f7-4bad-8c63-c649e27d9b51,66690f21-fa07-4f8f-832d-3e2a5cf8c8af,11,6,394,8084,fac/staff (off-campus),0.0487382483918852
4237709c-49f7-4bad-8c63-c649e27d9b51,66690f21-fa07-4f8f-832d-3e2a5cf8c8af,36,4,595,1698,fac/staff (on-campus student facing),0.3504122497055359
4237709c-49f7-4bad-8c63-c649e27d9b51,66690f21-fa07-4f8f-832d-3e2a5cf8c8af,39,2,1350,13012,Grad (research),0.10375038426068245
4237709c-49f7-4bad-8c63-c649e27d9b51,66690f21-fa07-4f8f-832d-3e2a5cf8c8af,41,0,2579,6931,(UG Dorms),0.37209637858894823
4237709c-49f7-4bad-8c63-c649e27d9b51,66690f21-fa07-4f8f-832d-3e2a5cf8c8af,42,3,308,1120,Grad (other),0.275
4237709c-49f7-4bad-8c63-c649e27d9b51,66690f21-fa07-4f8f-832d-3e2a5cf8c8af,46,1,5105,24254,UG (off campus),0.21048074544405046
4456fd41-d7aa-418b-af83-b2ce86d30716,01905d6b-18ef-4905-8593-2fa97f95867c,9,6,453,8084,fac/staff (off-campus),0.05603661553686294
4456fd41-d7aa-418b-af83-b2ce86d30716,01905d6b-18ef-4905-8593-2fa97f95867c,9,7,13983,258054,Madison Community,0.054186333093073545
4456fd41-d7aa-418b-af83-b2ce86d30716,01905d6b-18ef-4905-8593-2fa97f95867c,12,5,427,8083,fac/staff (on-campus non-student facing),0.05282692069776073
4456fd41-d7aa-418b-af83-b2ce86d30716,01905d6b-18ef-4905-8593-2fa97f95867c,35,4,530,1698,fac/staff (on-campus student facing),0.3121319199057715
4456fd41-d7aa-418b-af83-b2ce86d30716,01905d6b-18ef-4905-8593-2fa97f95867c,42,0,2384,6931,(UG Dorms),0.34396191025826
4456fd41-d7aa-418b-af83-b2ce86d30716,01905d6b-18ef-4905-8593-2fa97f95867c,45,3,259,1120,Grad (other),0.23125
4456fd41-d7aa-418b-af83-b2ce86d30716,01905d6b-18ef-4905-8593-2fa97f95867c,47,1,4935,24254,UG (off campus),0.20347159231466974
4456fd41-d7aa-418b-af83-b2ce86d30716,01905d6b-18ef-4905-8593-2fa97f95867c,50,2,1255,13012,Grad (research),0.09644943129418998
4584d706-4588-4802-81a1-abe328538d0b,b0287680-bdaf-49ff-8552-edc9c9a0e84a,9,5,410,8083,fac/staff (on-campus non-student facing),0.050723741185203515
4584d706-4588-4802-81a1-abe328538d0b,b0287680-bdaf-49ff-8552-edc9c9a0e84a,9,7,13729,258054,Madison Community,0.05320204298325157
4584d706-4588-4802-81a1-abe328538d0b,b0287680-bdaf-49ff-8552-edc9c9a0e84a,10,6,414,8084,fac/staff (off-campus),0.0512122711528946
4584d706-4588-4802-81a1-abe328538d0b,b0287680-bdaf-49ff-8552-edc9c9a0e84a,38,3,295,1120,Grad (other),0.26339285714285715
4584d706-4588-4802-81a1-abe328538d0b,b0287680-bdaf-49ff-8552-edc9c9a0e84a,38,4,571,1698,fac/staff (on-campus student facing),0.33627797408716137
4584d706-4588-4802-81a1-abe328538d0b,b0287680-bdaf-49ff-8552-edc9c9a0e84a,43,0,2451,6931,(UG Dorms),0.35362862501803494
4584d706-4588-4802-81a1-abe328538d0b,b0287680-bdaf-49ff-8552-edc9c9a0e84a,47,2,1304,13012,Grad (research),0.1002151859821703
4584d706-4588-4802-81a1-abe328538d0b,b0287680-bdaf-49ff-8552-edc9c9a0e84a,48,1,4657,24254,UG (off campus),0.19200956543250597
46661167-7c67-40dd-9200-825b1ff0f2b2,93f83715-2e4a-4a2f-9c94-c619ab687bf9,9,7,13923,258054,Madison Community,0.05395382361831245
46661167-7c67-40dd-9200-825b1ff0f2b2,93f83715-2e4a-4a2f-9c94-c619ab687bf9,10,5,422,8083,fac/staff (on-campus non-student facing),0.05220833848818508
46661167-7c67-40dd-9200-825b1ff0f2b2,93f83715-2e4a-4a2f-9c94-c619ab687bf9,10,6,427,8084,fac/staff (off-campus),0.052820385947550716
46661167-7c67-40dd-9200-825b1ff0f2b2,93f83715-2e4a-4a2f-9c94-c619ab687bf9,37,2,1236,13012,Grad (research),0.09498924070089149
46661167-7c67-40dd-9200-825b1ff0f2b2,93f83715-2e4a-4a2f-9c94-c619ab687bf9,39,4,643,1698,fac/staff (on-campus student facing),0.37868080094228507
46661167-7c67-40dd-9200-825b1ff0f2b2,93f83715-2e4a-4a2f-9c94-c619ab687bf9,40,0,2551,6931,(UG Dorms),0.3680565574953109
46661167-7c67-40dd-9200-825b1ff0f2b2,93f83715-2e4a-4a2f-9c94-c619ab687bf9,45,1,5026,24254,UG (off campus),0.2072235507545147
46661167-7c67-40dd-9200-825b1ff0f2b2,93f83715-2e4a-4a2f-9c94-c619ab687bf9,45,3,317,1120,Grad (other),0.2830357142857143
472d6b74-1ca2-4961-b99e-3cc119caf2c0,aee701e6-da1b-4c75-9966-14ea247ed116,9,5,401,8083,fac/staff (on-campus non-student facing),0.04961029320796734
